sno,sna,sarea,lng,lat,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,捷運市政府站(3號出口),信義區,121.5679044,25.04085789,0.54,0.52,0.51,0.56,0.52,0.62,0.64,0.64,0.66,0.63,0.61,0.87,0.9,0.88,0.82,0.41,0.27,0.2
2,捷運國父紀念館站(2號出口),大安區,121.55742,25.041254,0.45,0.09,0.32,0.51,0.47,0.79,0.74,0.5,0.24,0.26,0.32,0.49,0.62,0.4,0.11,0.02,0.09,0.3
3,台北市政府,信義區,121.5651694,25.03779722,0.3,1,0.4,0.7,0.65,0.53,0.47,0.8,0.47,0.82,0.6,0.62,0.35,0.7,0.57,0.15,0.05,0.28
4,市民廣場,信義區,121.562325,25.03603611,0.32,0.5,0.67,0.72,0.8,0.72,0.65,0.68,0.7,0.68,0.6,0.42,0.35,0.23,0.28,0.28,0.07,0.23
5,興雅國中,信義區,121.5686639,25.03656389,0.35,0.55,0.42,0.2,0.37,0.3,0.23,0.47,0.15,0.05,0.43,0.05,0.22,0.27,0.27,0.1,0,0.23
6,臺北南山廣場,信義區,121.565973,25.034047,0.21,0.51,0.69,0.78,0.82,0.82,0.84,0.9,0.91,0.93,0.91,0.59,0.41,0.36,0.06,0.04,0.01,0.01
7,信義廣場(台北101),信義區,121.5656194,25.03303889,0.26,0.23,0.52,0.58,0.1,0.1,0,0.3,0.44,0.34,0.7,0.18,0.25,0.22,0.24,0,0,0
8,世貿三館,信義區,121.5636889,25.03521389,0.2,0.41,0.58,0.58,0.66,0.8,0.83,0.86,0.9,0.88,0.81,0.47,0.53,0.54,0.41,0.24,0.14,0.17
9,松德站,信義區,121.57448,25.031785,0.57,0.62,0.7,0.72,0.72,0.45,0.55,0.65,0.42,0.33,0.1,0.17,0.4,0.35,0.33,0.62,0.65,0.72
10,台北市災害應變中心,信義區,121.5661167,25.02866111,0.73,0.6,0.54,0.54,0.75,0.5,0.67,0.46,0.83,0.65,0.35,0.46,0.56,0.4,0.58,0.11,0.37,0.48
11,三張犁,信義區,121.55762,25.034937,0.85,0.23,0.21,0.09,0.02,0,0.14,0.11,0.12,0.11,0.08,0.23,0.35,0.44,0.32,0.59,0.86,0.89
12,臺北醫學大學,信義區,121.561747,25.026679,0.3,0.37,0.43,0.38,0.37,0.29,0.24,0.5,0.65,0.76,0.15,0.79,0.7,0.94,0.64,0.57,0.79,0.87
13,福德公園,信義區,121.58367,25.03809,0.38,0.64,0.4,0.4,0.21,0.05,0.24,0.29,0.22,0.22,0.21,0.34,0.58,0.63,0.09,0.41,0.83,0.34
14,榮星花園,中山區,121.54037,25.06424,0.62,0.44,0,0.03,0.12,0.16,0.12,0.03,0.19,0.06,0.09,0.91,0.12,0.44,0.62,0.69,0.5,0.16
